id,name,domain,latitude,longitude,interval,timezone,sens,counter,:id,:version,:created_at,:updated_at
300041240,Ocean Pkwy at Avenue J,New York City DOT,40.6243031677402,-73.9706093072891,15,(UTC-05:00) US/Eastern;DST,5,Y2H22104567,row-fwpr_tbcc_e976,rv-ay6g.ex8b-npci,2024-05-29T15:04:35Z,2024-05-29T15:04:35Z
300029648,Willis Ave Peds,New York City DOT,40.8070462909676,-73.9243930579323,15,(UTC-05:00) US/Eastern;DST,5,YAH22104565,row-9v57-2g66_f2d4,rv-9cq3~uwaz-zvbn,2024-10-21T15:04:13Z,2024-10-21T15:04:13Z
300043076,Emmons Ave Bikes,New York City DOT,40.5841,-73.93099,15,(UTC-05:00) US/Eastern;DST,5,YAH22104564,row-sxnt-6xfq_dst2,rv-prik-hq4z_jzew,2024-10-21T15:04:13Z,2024-10-21T15:04:13Z
300043078,High Bridge Bikes,New York City DOT,40.84219,-73.93207,15,(UTC-05:00) US/Eastern;DST,5,YAH22104566,row-bdpr~9zhu.teim,rv-tiew.trzt-db8y,2024-10-21T15:04:13Z,2024-10-21T15:04:13Z
300043074,Concrete Plant Park Bikes,New York City DOT,40.827664,-73.8850099,15,(UTC-05:00) US/Eastern;DST,5,YAH22104563,row-x6xa.56fv.dvc4,rv-p6hw_jkv7.mvec,2024-10-21T15:04:13Z,2024-10-21T15:04:13Z
300043073,Concrete Plant Park Peds,New York City DOT,40.827664,-73.8850099,15,(UTC-05:00) US/Eastern;DST,5,YAH22104563,row-4ysc~km3s.mbyt,rv-5xgh.rq4r_n3zn,2024-10-21T15:04:13Z,2024-10-21T15:04:13Z
300043077,High Bridge Peds,New York City DOT,40.84219,-73.93207,15,(UTC-05:00) US/Eastern;DST,5,YAH22104566,row-fib7~jiva.gkxk,rv-jv4j_whnu.6955,2024-10-21T15:04:13Z,2024-10-21T15:04:13Z
300028963,Willis Ave,New York City DOT,40.8070462909676,-73.9243930579323,15,(UTC-05:00) US/Eastern;DST,5,YAH22104565,row-yf5v~mu3e~nzq3,rv-t2id~wdnd.eu9x,2024-10-21T15:04:13Z,2024-10-21T15:04:13Z
300020904,Comprehensive Brooklyn Bridge Counter,New York City DOT,40.7116442753966,-74.0041094515003,15,(UTC-05:00) US/Eastern;DST,5,Y2H22042943,row-s5ku~s42z.uscz,rv-ctb3~3sj2_w5uq,2024-10-21T15:04:13Z,2024-10-21T15:04:13Z
300029647,Willis Ave Bikes,New York City DOT,40.8070462909676,-73.9243930579323,15,(UTC-05:00) US/Eastern;DST,5,YAH22104565,row-vwet-9jdm~kdpn,rv-vkqh-ffpu_yvhv,2024-10-21T15:04:13Z,2024-10-21T15:04:13Z
300043075,Emmons Ave Peds,New York City DOT,40.5841,-73.93099,15,(UTC-05:00) US/Eastern;DST,5,YAH22104564,row-j9ec_kz4i~bu6f,rv-pf7z~3n78.rq2d,2024-10-21T15:04:13Z,2024-10-21T15:04:13Z
100047029,Manhattan Bridge Display Bike Counter,New York City DOT,40.7156,-73.99475,60,(UTC-05:00) US/Eastern;DST,5,Y2H24082409,row-shsc.8gqu_vis8,rv-xydf_du7c.zm6k,2024-11-05T16:04:04Z,2024-11-05T16:04:04Z
100062893,Manhattan Bridge Bike Comprehensive,New York City DOT,40.7156,-73.99475,60,(UTC-05:00) US/Eastern;DST,5,Y2H24082409,row-ef2w_tm2u~thzy,rv-hq95~8v95-par3,2024-11-05T16:04:04Z,2024-11-05T16:04:04Z
300054793,P-102DELV - Hunts Point Ave Station,New York City DOT,40.8207,-73.89049,15,(UTC-05:00) US/Eastern;DST,5,Y2H24072331,row-rdka-56zb_aste,rv-5ije-u4d4_ecef,2025-08-07T15:04:23Z,2025-08-07T15:04:23Z
